,,,,,,,,,,,latitude,longitude,group,,
,,,,,,,,,,,40.93219,-73.7596,0,,
,,,,,,,,,,,40.76075,-73.9837,0,,
,,,,,,,,,,,40.74184,-73.99324,0,,
,,,,,,,,,,,43.0904,-77.51486,0,,
,,,,,,,,,,,40.7394,-73.78548,0,,
,,,,,,,,,,,40.65669,-73.54966,0,,
,,,,,,,,,,,40.9692,-73.80762,0,,
,,,,,,,,,,,41.01286,-73.84686,0,,
,,,,,,,,,,,40.66698,-73.47487,0,,
,,,,,,,,,,,43.12316,-77.61791,0,,
,,,,,,,,,,,43.12656,-77.56473,0,,
,,,,,,,,,,,40.74899,-73.99237,0,,
,,,,,,,,,,,40.77795,-73.97817,0,,
,,,,,,,,,,,43.00242,-78.78541,0,,
,,,,,,,,,,,41.1592,-73.77264,0,,
,,,,,,,,,,,43.00065,-78.82182,0,,
,,,,,,,,,,,40.80958,-73.62763,0,,
,,,,,,,,,,,42.68333,-73.84022,0,,
,,,,,,,,,,,42.99239,-78.69755,0,,
,,,,,,,,,,,42.96173,-78.75061,0,,
,,,,,,,,,,,40.73879,-73.9834,0,,
,,,,,,,,,,,40.75019,-73.97456,0,,
,,,,,,,,,,,40.76887,-73.98235,0,,
,,,,,,,,,,,43.14445,-77.58949,0,,
,,,,,,,,,,,40.76148,-73.9735,0,,
,,,,,,,,,,,40.72044,-73.84444,0,,
,,,,,,,,,,,43.08038,-73.78598,0,,
,,,,,,,,,,,40.78671,-73.97224,0,,
,,,,,,,,,,,40.75133,-73.99216,0,,
,,,,,,,,,,,40.77765,-73.98248,0,,
,,,,,,,,,,,40.69245,-73.99126,0,,
,,,,,,,,,,,43.08865,-77.6081,0,,
,,,,,,,,,,,40.58662,-74.16782,0,,
,,,,,,,,,,,42.81619,-73.88722,0,,
,,,,,,,,,,,40.75412,-73.97171,0,,
,,,,,,,,,,,40.70573,-73.85812,0,,
,,,,,,,,,,,40.75238,-73.97562,0,,
,,,,,,,,,,,40.70574,-73.65453,0,,
,,,,,,,,,,,40.71091,-74.00984,0,,
,,,,,,,,,,,40.73502,-73.98985,0,,
,,,,,,,,,,,42.71069,-73.8202,0,,
,,,,,,,,,,,43.20397,-77.55689,0,,
,,,,,,,,,,,42.9226,-78.87682,0,,
,,,,,,,,,,,40.8047,-73.96667,0,,
,,,,,,,,,,,42.72761,-73.76099,0,,
,,,,,,,,,,,40.64068,-73.60813,0,,
,,,,,,,,,,,40.76086,-73.76647,0,,
,,,,,,,,,,,40.76218,-73.98747,0,,
,,,,,,,,,,,40.58446,-73.65828,0,,
,,,,,,,,,,,40.78363,-73.97446,0,,
,,,,,,,,,,,40.92202,-73.77357,0,,
,,,,,,,,,,,40.64076,-73.69933,0,,
,,,,,,,,,,,40.72723,-73.42447,0,,
,,,,,,,,,,,40.70279,-74.0128,0,,
,,,,,,,,,,,40.75184,-73.99021,0,,
,,,,,,,,,,,40.76098,-73.96964,0,,
,,,,,,,,,,,40.9376,-72.30177,0,,
,,,,,,,,,,,40.78263,-73.95143,0,,
,,,,,,,,,,,40.85562,-73.19143,0,,
,,,,,,,,,,,40.65517,-73.67593,0,,
,,,,,,,,,,,40.76162,-73.99004,0,,
,,,,,,,,,,,40.70529,-74.01105,0,,
,,,,,,,,,,,40.74507,-73.98686,0,,
,,,,,,,,,,,40.58878,-73.66714,0,,
,,,,,,,,,,,40.75636,-73.97813,0,,
,,,,,,,,,,,40.75643,-73.97838,0,,
,,,,,,,,,,,40.74426,-73.98375,0,,
,,,,,,,,,,,41.11216,-74.11275,0,,
,,,,,,,,,,,41.0124,-73.79612,0,,
,,,,,,,,,,,40.94058,-73.10832,0,,
,,,,,,,,,,,40.67198,-73.97746,0,,
,,,,,,,,,,,40.75876,-73.97869,0,,
,,,,,,,,,,,40.75876,-73.97869,0,,
,,,,,,,,,,,40.75136,-73.99043,0,,
,,,,,,,,,,,40.73568,-73.08337,0,,
,,,,,,,,,,,42.89082,-78.87624,0,,
,,,,,,,,,,,41.09112,-73.91848,0,,
,,,,,,,,,,,40.76311,-73.33008,0,,
,,,,,,,,,,,40.80781,-73.94511,0,,
,,,,,,,,,,,40.75517,-73.97941,0,,
,,,,,,,,,,,40.75504,-73.98641,0,,
,,,,,,,,,,,40.77427,-73.73295,0,,
,,,,,,,,,,,40.76931,-73.9849,0,,
,,,,,,,,,,,40.71552,-74.00915,0,,
,,,,,,,,,,,40.75533,-73.99091,0,,
,,,,,,,,,,,40.75263,-73.9929,0,,
,,,,,,,,,,,40.79252,-73.97303,0,,
,,,,,,,,,,,42.78851,-78.81207,0,,
,,,,,,,,,,,40.66143,-73.84016,0,,
,,,,,,,,,,,40.70846,-74.00753,0,,
,,,,,,,,,,,40.65691,-73.64505,0,,
,,,,,,,,,,,40.72719,-73.99546,0,,
,,,,,,,,,,,41.74797,-74.08521,0,,
,,,,,,,,,,,40.7637,-73.98529,0,,
,,,,,,,,,,,40.75481,-73.11612,0,,
,,,,,,,,,,,41.27483,-73.78046,0,,
,,,,,,,,,,,40.75087,-73.97528,0,,
,,,,,,,,,,,40.74776,-73.98531,0,,
,,,,,,,,,,,40.7564,-73.55266,0,,
,,,,,,,,,,,40.75365,-73.98843,0,,
,,,,,,,,,,,41.31634,-74.12603,0,,
,,,,,,,,,,,40.72966,-73.99618,0,,
,,,,,,,,,,,40.93999,-73.74397,0,,
,,,,,,,,,,,40.76114,-73.96918,0,,
,,,,,,,,,,,40.75678,-74.00343,0,,
,,,,,,,,,,,40.86302,-73.05505,0,,
,,,,,,,,,,,43.04172,-76.13458,0,,
,,,,,,,,,,,40.80711,-73.96491,0,,
,,,,,,,,,,,42.44868,-79.33924,0,,
,,,,,,,,,,,40.74892,-73.98268,0,,
,,,,,,,,,,,40.75809,-73.82954,0,,
,,,,,,,,,,,42.66413,-73.78549,0,,
,,,,,,,,,,,40.73703,-73.99055,0,,
,,,,,,,,,,,40.91478,-73.12376,0,,
,,,,,,,,,,,40.78027,-73.65025,0,,
,,,,,,,,,,,43.12898,-77.62971,0,,
,,,,,,,,,,,40.73318,-74.00293,0,,
,,,,,,,,,,,40.76522,-73.98203,0,,
,,,,,,,,,,,40.77614,-73.911,0,,
,,,,,,,,,,,40.75504,-73.96861,0,,
,,,,,,,,,,,40.78714,-73.95448,0,,
,,,,,,,,,,,40.75799,-73.98563,0,,
,,,,,,,,,,,40.78202,-73.82987,0,,
,,,,,,,,,,,40.71233,-74.00795,0,,
,,,,,,,,,,,40.71486,-74.00576,0,,
,,,,,,,,,,,40.76023,-73.91822,0,,
,,,,,,,,,,,42.855,-74.1258,0,,
,,,,,,,,,,,40.75158,-73.97359,0,,
,,,,,,,,,,,40.79073,-73.41592,0,,
,,,,,,,,,,,40.75453,-73.9761,0,,
,,,,,,,,,,,40.64832,-73.79173,0,,
,,,,,,,,,,,43.13695,-76.2265,0,,
,,,,,,,,,,,40.64025,-73.78944,0,,
,,,,,,,,,,,40.743,-74.00034,0,,
,,,,,,,,,,,40.74357,-73.99203,0,,
,,,,,,,,,,,40.70964,-74.01461,0,,
,,,,,,,,,,,40.9899,-73.872,0,,
,,,,,,,,,,,42.97134,-77.17138,0,,
,,,,,,,,,,,43.0534,-74.8476,0,,
,,,,,,,,,,,43.11951,-75.405,0,,
,,,,,,,,,,,41.6175,-74.07632,0,,
,,,,,,,,,,,42.01765,-74.01447,0,,
,,,,,,,,,,,40.78918,-73.09849,0,,
,,,,,,,,,,,43.08678,-79.05978,0,,
,,,,,,,,,,,40.75409,-73.68799,0,,
,,,,,,,,,,,40.68855,-73.99277,0,,
,,,,,,,,,,,40.64264,-73.79128,0,,
,,,,,,,,,,,40.64148,-73.78893,0,,
,,,,,,,,,,,40.75502,-73.97322,0,,
,,,,,,,,,,,43.13008,-77.47692,0,,
,,,,,,,,,,,40.75033,-73.97704,0,,
,,,,,,,,,,,40.76035,-73.96114,0,,
,,,,,,,,,,,40.75176,-73.41908,0,,
,,,,,,,,,,,40.85806,-73.08891,0,,
,,,,,,,,,,,40.73375,-73.9866,0,,
,,,,,,,,,,,40.87323,-73.90873,0,,
,,,,,,,,,,,40.68444,-73.97752,0,,
,,,,,,,,,,,40.75715,-73.61934,0,,
